,track_id,start,duration,confidence
1259,028pJgI2yCyGrhOfStge8l,54.70148,0.41771,0.734
1260,028pJgI2yCyGrhOfStge8l,55.11919,0.41939,0.678
1261,028pJgI2yCyGrhOfStge8l,55.53857,0.41901,0.64
1262,028pJgI2yCyGrhOfStge8l,55.95758,0.41827,0.709
1263,028pJgI2yCyGrhOfStge8l,56.37585,0.42088,0.76
1264,028pJgI2yCyGrhOfStge8l,56.79673,0.42163,0.722
1265,028pJgI2yCyGrhOfStge8l,57.21836,0.41678,0.774
1266,028pJgI2yCyGrhOfStge8l,57.63515,0.41306,0.74
1267,028pJgI2yCyGrhOfStge8l,58.0482,0.41399,0.676
1268,028pJgI2yCyGrhOfStge8l,58.4622,0.41437,0.585
1269,028pJgI2yCyGrhOfStge8l,58.87657,0.41158,0.694
1270,028pJgI2yCyGrhOfStge8l,59.28815,0.40935,0.641
1271,028pJgI2yCyGrhOfStge8l,59.6975,0.41086,0.644
1272,028pJgI2yCyGrhOfStge8l,60.10836,0.41423,0.608
1273,028pJgI2yCyGrhOfStge8l,60.52259,0.41519,0.673
1274,028pJgI2yCyGrhOfStge8l,60.93778,0.41558,0.723
1275,028pJgI2yCyGrhOfStge8l,61.35336,0.41822,0.636
1276,028pJgI2yCyGrhOfStge8l,61.77158,0.42029,0.397
1277,028pJgI2yCyGrhOfStge8l,62.19187,0.42012,0.463
1278,028pJgI2yCyGrhOfStge8l,62.61199,0.41901,0.481
1279,028pJgI2yCyGrhOfStge8l,63.031,0.41975,0.521
1280,028pJgI2yCyGrhOfStge8l,63.45075,0.42105,0.605
1281,028pJgI2yCyGrhOfStge8l,63.8718,0.41806,0.706
1282,028pJgI2yCyGrhOfStge8l,64.28986,0.41526,0.786
1283,028pJgI2yCyGrhOfStge8l,64.70512,0.41693,0.72
1284,028pJgI2yCyGrhOfStge8l,65.12205,0.41705,0.658
1285,028pJgI2yCyGrhOfStge8l,65.5391,0.41451,0.639
1286,028pJgI2yCyGrhOfStge8l,65.95361,0.41409,0.559
1287,028pJgI2yCyGrhOfStge8l,66.36769,0.41409,0.675
0,0KFAM8DHNyrJq4mcPQzPkR,0.74537,0.46601,0.0
1,0KFAM8DHNyrJq4mcPQzPkR,1.21138,0.47564,0.946
2,0KFAM8DHNyrJq4mcPQzPkR,1.68702,0.47547,0.625
3,0KFAM8DHNyrJq4mcPQzPkR,2.16248,0.47392,0.399
4,0KFAM8DHNyrJq4mcPQzPkR,2.6364,0.47256,0.518
5,0KFAM8DHNyrJq4mcPQzPkR,3.10896,0.47297,0.469
6,0KFAM8DHNyrJq4mcPQzPkR,3.58193,0.47496,0.491
7,0KFAM8DHNyrJq4mcPQzPkR,4.05689,0.4734,0.316
8,0KFAM8DHNyrJq4mcPQzPkR,4.53029,0.47403,0.34
9,0KFAM8DHNyrJq4mcPQzPkR,5.00433,0.47753,0.49
10,0KFAM8DHNyrJq4mcPQzPkR,5.48185,0.48413,0.393
11,0KFAM8DHNyrJq4mcPQzPkR,5.96598,0.49341,0.434
12,0KFAM8DHNyrJq4mcPQzPkR,6.45939,0.49602,0.608
13,0KFAM8DHNyrJq4mcPQzPkR,6.95541,0.49151,0.521
14,0KFAM8DHNyrJq4mcPQzPkR,7.44691,0.49123,0.506
15,0KFAM8DHNyrJq4mcPQzPkR,7.93814,0.49472,0.705
16,0KFAM8DHNyrJq4mcPQzPkR,8.43285,0.49753,0.699
17,0KFAM8DHNyrJq4mcPQzPkR,8.93038,0.49636,0.41
18,0KFAM8DHNyrJq4mcPQzPkR,9.42675,0.49142,0.216
19,0KFAM8DHNyrJq4mcPQzPkR,9.91816,0.49091,0.165
20,0KFAM8DHNyrJq4mcPQzPkR,10.40907,0.49507,0.148
